,rolls, pitches, yaw
2194,0.1667614689856634,-24.158128414633982,-1.029924132785368
2195,0.15559273973321278,-24.165385200429892,-1.0275577042279522
2196,0.14802237158795226,-24.158291006935894,-1.0259143635366461
2197,0.15574198461769748,-24.17968232903322,-1.0276365652371366
2198,0.19138933053924645,-24.207999714532548,-1.0425283689887437
2199,0.1914660152794886,-24.215148045329848,-1.042570693774329
2200,0.1914660152794886,-24.215148045329848,-1.042570693774329
2201,0.18760214908369127,-24.20445707139143,-1.0417033995720453
2202,0.18381500552628094,-24.200902193219598,-1.0408786226255797
2203,0.17914861318424863,-24.190218306137627,-1.0362639225422763
2204,0.17922451003773157,-24.197366143110816,-1.0363051964116734
2205,0.155779300926034,-24.183257394290802,-1.0276563203678106
2206,0.14817108342188665,-24.172597393742507,-1.0259920473898487
2207,0.14373107748578595,-24.183357774604968,-1.0214987137997693
2208,0.155779300926034,-24.183257394290802,-1.0276563203678106
2209,0.151190735163458,-24.179720522832714,-1.0230851468054005
2210,0.16717482104143147,-24.197470223949807,-1.0301458384527595
2211,0.1670621206597007,-24.18674721530256,-1.0300853770888412
2212,0.1594528810447048,-24.176077421601953,-1.0284195724559275
2213,0.15191921514694173,-24.17256750165679,-1.0267946658787543
2214,0.16702443944097187,-24.183159819761972,-1.0300651095842475
2215,0.15516227774245575,-24.20114365393302,-1.0240058361728328
2216,0.147850044178543,-24.219092845598933,-1.0224956450908784
2217,0.15615289051900305,-24.21902221042872,-1.0278538056097148
2218,0.16717482104143147,-24.197470223949807,-1.0301458384527595
2219,0.18660756305890755,-24.18658049315518,-1.037849478162833
2220,0.17914861318424863,-24.190218306137627,-1.0362639225422763
2221,0.1594528810447048,-24.176077421601953,-1.0284195724559275
2222,0.15570467103488161,-24.176107314126558,-1.0276168154042948
2223,0.15555530931744832,-24.161800734108308,-1.0275379947352161
2224,0.15930320627544367,-24.161768214759114,-1.028340087381412
2225,0.13976145859971104,-24.16193349535694,-1.0205812826452305
2226,0.143398599351908,-24.15117956798473,-1.021325823526667
2227,0.14729438664029101,-24.16545578865367,-1.022204928803461
2228,0.16679900878660256,-24.161703175979014,-1.0299442740923925
2229,0.18247879413850843,-24.150847635660483,-1.036838631129538
2230,0.18247879413850843,-24.150847635660483,-1.036838631129538
2231,0.2176161528653481,-24.132659133022308,-1.0514387831947458
2232,0.21299032045367627,-24.125553498346004,-1.046846611961106
2233,0.2126414465892153,-24.093367753876223,-1.0466495718881583
2234,0.20854717639394973,-24.061213541180074,-1.0456545771532362
2235,0.20094050981702544,-24.050559088211816,-1.043994010945906
2236,0.18088465931004247,-24.000669440387593,-1.035970948680133
2237,0.15304547623901082,-23.99733131249658,-1.0228913547415237
2238,0.1569383195271028,-24.011604212761423,-1.023765453275506
2239,0.1495231556687309,-24.018811824060602,-1.0222114327039982
2240,0.13767547800255514,-24.03679107212917,-1.0161710806389084
2241,0.1294241742321764,-24.04043107567263,-1.0108495565363642
2242,0.12204237971696062,-24.051224538457706,-1.0093094166451215
2243,0.09426369581298166,-24.055022936102826,-0.9962502817230469
2244,0.10626267215600405,-24.051354824059285,-1.0023725345492522
2245,0.0943696965605224,-24.065745699211636,-0.9963016651993709
2246,0.10276681530792024,-24.07641051418988,-1.0016969122575605
2247,0.10647708433619425,-24.072807523196087,-1.002478166544261
2248,0.11116555767831976,-24.087065637077266,-1.0070942459436196
2249,0.10315931284925929,-24.11574510872741,-1.0018894781665784
2250,0.11152545308914016,-24.122824952258373,-1.0072729138990955
2251,0.11920036247252484,-24.14064215694644,-1.0089649664989424
2252,0.12687693815108494,-24.15846059544971,-1.010659935667258
2253,0.13506484976611402,-24.147672311647007,-1.0159556435968167
2254,0.147220262858474,-24.158293923811883,-1.0221661079603717
2255,0.15093099823045913,-24.15468943446473,-1.0229486704231734
2256,0.14263357053970468,-24.154757034762365,-1.017596986675379
2257,0.11563342997277508,-24.158557098337724,-1.0082540536466915
2258,0.11577790133865024,-24.172866154179324,-1.00832642160733
2259,0.11563342997277508,-24.158557098337724,-1.0082540536466915
2260,0.09973313190188396,-24.14796324337735,-1.0012457434617845
2261,0.08782956667174532,-24.162356751530055,-0.9951607661909297
2262,0.07651585302128151,-24.155300405846578,-0.9927212909269635
2263,0.08036892510856163,-24.166005107946592,-0.9935732104101761
2264,0.10008955153555942,-24.183716186925707,-1.0014201132812603
2265,0.10012531813140428,-24.1873009689512,-1.0014375763530516
2266,0.10390952002691632,-24.190844091565097,-1.0022582877466681
2267,0.11213781348532602,-24.18361814615497,-1.007577621759498
2268,0.11217396011705327,-24.187202924656752,-1.007595584480646
2269,0.12447762671770375,-24.21213847225316,-1.013883122827556
2270,0.13303711343562485,-24.237102879294874,-1.019372527750491
2271,0.11355650777505905,-24.24442833207863,-1.0116337569392242
2272,0.10237918072409148,-24.251671993738892,-1.009253092694264
2273,0.11843977173683674,-24.276576115313368,-1.0163541269181908
2274,0.09541717798499715,-24.305391028431316,-1.007903529325817
2275,0.11519909113941862,-24.326691031570697,-1.015803050023399
2276,0.12347427124327398,-24.32304956244563,-1.021153528092374
2277,0.10457135997297297,-24.30889748837898,-1.0170397582607955
2278,0.09728593668536113,-24.33042378622358,-1.0155300005018995
2279,0.09396739556166091,-24.373381524806895,-1.0149318584474203
2280,0.11960823929807209,-24.39105206628827,-1.0169439094859136
2281,0.15763227254055737,-24.51598049371636,-1.0219975471904006
2282,0.2611085789353288,-24.776413416736816,-1.042012781984759
2283,0.3973006570397683,-24.979371985791534,-1.0658890908533614
2284,0.4271183882210401,-25.125975242422527,-1.0805124378845072
2285,0.36954297599380076,-25.21607114549646,-1.075325557037646
2286,0.34474146945627815,-25.280795927672795,-1.0736917293502153
2287,0.36467732206351616,-25.370238431072163,-1.0786370842818056
2288,0.3884582197356967,-25.463241427559463,-1.08450425789458
2289,0.39018298263535905,-25.53493994441675,-1.088877676942035
2290,0.365531498246631,-25.614053233047578,-1.0872996517484148
2291,0.3777466357107632,-25.685672913774113,-1.0904680637812485
2292,0.39745614660889217,-25.750074636988355,-1.0953259475423804
2293,0.4506722548287341,-25.860787248786014,-1.1189369014648634
2294,0.4041729912502212,-25.84687765530875,-1.1045915656280638
2295,0.3090484720278238,-25.783151388454144,-1.0681006262864503
2296,0.2725518713439131,-25.72248910816896,-1.0522995478619181
