Timestamp,q.w,q.i,q.j,q.k,euler
1716936526109,0.9998926,-0.003387555,-0.01425214,0.0004272591,[179.94549035   1.63305479  -0.38900229]
1716936526109,0.9998946,-0.003295999,-0.01413007,0.0004272591,[179.94568634   1.61907032  -0.37849956]
1716936526109,0.9998977,-0.003265481,-0.01391644,0.0004272591,[179.94581624   1.5945895   -0.37498755]
1716936526109,0.999899,-0.003265481,-0.01382488,0.0004577776,[179.94235259   1.58408503  -0.37502998]
1716936526109,0.9999003,-0.003265481,-0.01373333,0.0004577776,[179.94238708   1.57359318  -0.37502374]
1716936526109,0.999902,-0.003387555,-0.01358074,0.0004577776,[179.94225455   1.55609904  -0.38900597]
1716936526109,0.9999028,-0.003357036,-0.0135197,0.0004882962,[179.93882758   1.54909395  -0.38555094]
1716936526109,0.9999036,-0.003387555,-0.01345866,0.0004882962,[179.93880415   1.54209669  -0.38904473]
1716936526109,0.9999054,-0.003448592,-0.01330607,0.0005188147,[179.93527263   1.52459391  -0.39607658]
1716936526109,0.9999071,-0.003753777,-0.01309244,0.0005188147,[179.93489968   1.50009197  -0.43104136]
1716936526109,0.9999046,-0.003875851,-0.01324503,0.0005188147,[179.9346483    1.51757095  -0.44504548]
1716936526109,0.9999054,-0.004547258,-0.01297037,0.0005493332,[179.93027497   1.48603464  -0.52202734]
1716936526109,0.9999147,-0.003906369,-0.01245155,0.0005493332,[179.93146139   1.42662231  -0.44852615]
1716936526109,0.9999059,-0.004608295,-0.01290933,0.0005493332,[179.93021666   1.47903522  -0.52901841]
1716936526109,0.9999074,-0.003875851,-0.0130314,0.0005493332,[179.93124575   1.49307524  -0.4450746 ]
1716936526109,0.9999026,-0.004181036,-0.01330607,0.0005493332,[179.93065753   1.52453142  -0.4800779 ]
1716936526109,0.9999075,-0.003753777,-0.01306192,0.0005493332,[179.93141486   1.49658118  -0.43108471]
1716936526109,0.9999061,-0.004119999,-0.01306192,0.0005798517,[179.92736859   1.49654143  -0.47310738]
