Timestamp,q.w,q.i,q.j,q.k,euler
1717193247917,0.7339416,-0.01239051,0.6790979,-0.001525925,[-166.20239366  -85.41404062  -14.67866111]
1717193247917,0.7338839,-0.01245155,0.6791589,-0.001586962,[-166.05278514  -85.42091994  -14.82826782]
1717193247917,0.733772,-0.01239051,0.679281,-0.001556444,[-166.08265508  -85.44114483  -14.79591649]
1717193247917,0.7336873,-0.01239051,0.6793725,-0.001556444,[-166.03801333  -85.45498577  -14.840554  ]
1717193247917,0.7335737,-0.01242103,0.6794946,-0.001556444,[-165.94879316  -85.47287737  -14.93224374]
1717193247917,0.733486,-0.01257363,0.6795862,-0.001678518,[-165.63062017  -85.48131055  -15.25288963]
1717193247917,0.7333434,-0.01263466,0.6797388,-0.001739555,[-165.43087621  -85.50189557  -15.45262677]
1717193247917,0.733285,-0.01272622,0.6797998,-0.001861629,[-165.18442139  -85.50671945  -15.69660563]
1717193247917,0.7332574,-0.0126957,0.6798303,-0.001800592,[-165.2612559   -85.51321449  -15.62224388]
1717193247917,0.7332856,-0.0126957,0.6797998,-0.001800592,[-165.2771494   -85.50862013  -15.60635182]
1717193247917,0.7332574,-0.0126957,0.6798303,-0.001800592,[-165.2612559   -85.51321449  -15.62224388]
1717193247917,0.7332863,-0.01266518,0.6797998,-0.001770074,[-165.33826681  -85.5098579   -15.54523381]
1717193247917,0.7333458,-0.01251259,0.6797388,-0.001617481,[-165.67523421  -85.50679449  -15.20826759]
1717193247917,0.7333735,-0.01254311,0.6797082,-0.001648,[-165.62965085  -85.50095978  -15.25385285]
1717193247917,0.7334571,-0.01260414,0.6796167,-0.001739555,[-165.52275642  -85.48406185  -15.35827697]
1717193247917,0.7335131,-0.01263466,0.6795557,-0.001739555,[-165.52464001  -85.47425681  -15.35887135]
1717193247917,0.7335684,-0.0126957,0.6794946,-0.001800592,[-165.43457962  -85.46258155  -15.4489356 ]
1717193247917,0.7335955,-0.01275674,0.6794641,-0.001861629,[-165.32933163  -85.45549911  -15.55418596]
1717193247917,0.7335088,-0.01284829,0.6795557,-0.001953185,[-165.10068643  -85.46555043  -15.78282761]
1717193247917,0.7333964,-0.01281777,0.6796777,-0.001892148,[-165.12895619  -85.48584462  -15.75702644]
1717193247917,0.7332838,-0.01278726,0.6797998,-0.001892148,[-165.09407982  -85.50485373  -15.78942285]
1717193247917,0.7332249,-0.01290933,0.6798608,-0.001983703,[-164.84945375  -85.50960355  -16.03652201]
1717193247917,0.7331393,-0.01293985,0.6799524,-0.002014222,[-164.73908382  -85.52210495  -16.14688826]
1717193247917,0.7330832,-0.01290933,0.6800134,-0.002014222,[-164.7354397   -85.53191585  -16.14805452]
1717193247917,0.7330242,-0.0130314,0.6800745,-0.002105777,[-164.48889325  -85.53656028  -16.39707404]
1717193247917,0.7330223,-0.01312296,0.6800745,-0.002197333,[-164.30533722  -85.53260402  -16.58063159]
1717193247917,0.7330242,-0.0130314,0.6800745,-0.002105777,[-164.48889325  -85.53656028  -16.39707404]
1717193247917,0.7330519,-0.01306192,0.6800439,-0.002136296,[-164.44456606  -85.5306528   -16.44140313]
